0.18182,0.9959,0.99959,22.081
0.2484,0.99642,0.99915,NaN
0.4302,0.99553,0.99897,22.081
0.63812,0.9955,0.99954,22.081
0.86012,0.99633,0.99913,22.081
1.0592,0.99544,0.99915,22.081
1.2569,0.99617,0.99931,22.081
1.4502,0.99659,0.99994,22.081
1.6358,0.99591,1,22.081
1.8562,0.99461,0.99985,22.081
2.0448,0.99517,1,22.08
2.248,0.99727,1,22.08
2.4569,0.99726,1,22.081
2.66,0.9964,1,22.082
2.8586,0.99731,1,22.082
3.06,0.99509,1,22.083
3.2559,0.99619,0.99991,22.084
3.4571,0.99628,0.99939,22.085
3.6456,0.99588,0.9994,22.087
3.8377,0.99655,0.9999,22.088
4.0586,0.99645,1,22.088
4.2581,0.99621,0.99994,22.09
4.4564,0.99643,0.99975,22.093
4.6572,0.99624,1,22.097
4.8421,0.99695,0.99988,22.102
5.0467,0.99608,1,22.105
5.2579,0.99621,0.99973,22.107
5.4437,0.99515,0.99959,22.108
5.6382,0.99597,0.99987,22.11
5.8547,0.99643,0.99997,22.111
6.0539,0.99752,1,22.112
6.2552,0.99682,0.99996,22.114
6.4519,0.99672,0.99971,22.116
6.6414,0.99645,0.9997,22.121
6.8496,0.99558,0.99954,22.125
7.0339,0.99677,0.99919,22.128
7.258,0.99671,1,22.13
7.4517,0.99612,0.99997,22.132
7.6516,0.99615,0.99939,22.134
7.8484,0.99655,0.9996,22.136
8.0516,0.99674,0.99946,22.137
8.2432,0.99599,0.99969,22.138
8.4586,0.99664,0.99948,22.138
8.6588,0.99624,0.99878,22.139
8.8567,0.99615,0.99855,22.141
9.0546,0.99663,0.99823,22.147
9.2367,0.99473,0.9981,22.149
9.4575,0.99637,0.99931,22.151
9.6393,0.9949,0.99849,22.152
9.8561,0.9962,0.99906,22.152
10.06,0.99553,0.99778,22.153
10.233,0.9964,0.99874,22.154
10.451,0.99626,0.99839,22.155
10.641,0.99634,0.99907,22.156
10.852,0.99686,0.99952,22.156
11.035,0.9957,0.9993,22.157
11.247,0.99614,0.99869,22.158
11.43,0.99623,0.99903,22.159
11.647,0.99616,0.99957,22.16
11.851,0.99635,0.99895,22.162
12.047,0.99479,0.99884,22.163
12.251,0.99537,0.99878,22.164
12.448,0.99566,0.99844,22.166
12.638,0.9958,0.99929,22.171
12.859,0.99623,0.99966,22.176
13.039,0.99662,0.999,22.18
13.235,0.99663,0.99874,22.183
13.43,0.99703,0.9997,22.185
13.632,0.99614,0.99793,22.188
13.841,0.99606,0.99752,22.19
14.05,0.99662,0.99927,22.193
14.257,0.99577,0.99823,22.196
